THC;Size;Rate
1%;1;2%
1%;2;2%
1%;3;2%
2%;1;2.50%
2%;2;2.50%
2%;3;2.50%
3%;1;3%
3%;2;3%
3%;3;3%
6%;1;4%
6%;2;4%
6%;3;4%
6%;4;4%
6%;5;4%
7%;1;4%
7%;2;4%
7%;3;4%
7%;4;4%
7%;5;4%
11%;6;3%
11%;7;3%
11%;8;3%
11%;9;3%
11%;10;3%
12%;6;3.50%
12%;7;3.50%
12%;8;3.50%
12%;9;3.50%
12%;10;3.50%
13%;6;3%
13%;7;3%
13%;8;3%
13%;9;3%
13%;10;3%
14%;6;3%
14%;7;3%
14%;8;3%
14%;9;3%
14%;10;3%
15%;6;3%
15%;7;3%
15%;8;3%
15%;9;3%
15%;10;3%
16%;1;5%
16%;2;5%
16%;3;5%
16%;4;5%
16%;5;5%
16%;6;5%
16%;7;5%
16%;8;5%
16%;9;5%
16%;10;5%
17%;1;5%
17%;2;5%
17%;3;5%
17%;4;5%
17%;5;5%
17%;6;5%
17%;7;5%
17%;8;5%
17%;9;5%
17%;10;5%
18%;1;5%
18%;2;5%
18%;3;5%
18%;4;5%
18%;5;5%
18%;6;5%
18%;7;5%
18%;8;5%
18%;9;5%
18%;10;5%
19%;1;5%
19%;2;5%
19%;3;5%
19%;4;5%
19%;5;5%
19%;6;5%
19%;7;5%
19%;8;5%
19%;9;5%
19%;10;5%
20%;1;5%
20%;2;5%
20%;3;5%
20%;4;5%
20%;5;5%
20%;6;5%
20%;7;5%
20%;8;5%
20%;9;5%
20%;10;5%
21%;1;5%
21%;2;5%
21%;3;5%
21%;4;5%
21%;5;5%
21%;6;5%
21%;7;5%
21%;8;5%
21%;9;5%
21%;10;5%
22%;1;5%
22%;2;5%
22%;3;5%
22%;4;5%
22%;5;5%
22%;6;5%
22%;7;5%
22%;8;5%
22%;9;5%
22%;10;5%
