Reward;Probability
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
5;0.35
