THC;Size;Rate
THC 1%;7;-2.10%
THC 1%;8;-2.10%
THC 1%;9;-2.10%
THC 1%;10;-2.10%
THC 2%;7;-2%
THC 2%;8;-2%
THC 2%;9;-2%
THC 2%;10;-2%
THC 3%;7;-2%
THC 3%;8;-2%
THC 3%;9;-2%
THC 3%;10;-2%
THC 4%;1;-3%
THC 4%;2;-3%
THC 4%;3;-3%
THC 4%;4;-3%
THC 4%;5;-3%
THC 4%;6;-3%
THC 4%;7;-3%
THC 4%;8;-3%
THC 4%;9;-3%
THC 4%;10;-3%
THC 5%;1;-3%
THC 5%;2;-3%
THC 5%;3;-3%
THC 5%;4;-3%
THC 5%;5;-3%
THC 5%;6;-3%
THC 5%;7;-3%
THC 5%;8;-3%
THC 5%;9;-3%
THC 5%;10;-3%
THC 9%;1;-1.80%
THC 9%;2;-1.80%
THC 9%;3;-1.80%
THC 9%;4;-1.80%
THC 9%;5;-1.80%
THC 9%;6;-1.80%
THC 9%;7;-1.80%
THC 9%;8;-1.80%
THC 9%;9;-1.80%
THC 9%;10;-1.80%
THC 10%;1;-1.50%
THC 10%;2;-1.50%
THC 10%;3;-1.50%
THC 10%;4;-1.50%
THC 11%;1;-1%
THC 11%;2;-1%
THC 11%;3;-1%
THC 11%;4;-1%
THC 11%;5;-1%
THC 12%;1;-0.80%
THC 12%;2;-0.80%
THC 12%;3;-0.80%
THC 12%;4;-0.80%
THC 12%;5;-0.80%
THC 13%;1;-0.90%
THC 13%;2;-0.90%
THC 13%;3;-0.90%
THC 13%;4;-0.90%
THC 13%;5;-0.90%
THC 14%;1;-0.80%
THC 14%;2;-0.80%
THC 14%;3;-0.80%
THC 14%;4;-0.80%
THC 14%;5;-0.80%
THC 15%;1;-1.20%
THC 15%;2;-1.20%
THC 15%;3;-1.20%
THC 15%;4;-1.20%
THC 15%;5;-1.20%
THC 14%;6;-0.80%
THC 14%;7;-0.80%
THC 14%;8;-0.80%
THC 14%;9;-0.80%
THC 14%;10;-0.80%
THC 15%;6;-0.80%
THC 15%;7;-0.80%
THC 15%;8;-0.80%
THC 15%;9;-0.80%
THC 15%;10;-0.80%
THC 1%;4;0%
THC 1%;5;0%
THC 1%;6;0%
THC 2%;4;0%
THC 2%;5;0%
THC 2%;6;0%
THC 3%;4;0%
THC 3%;5;0%
THC 3%;6;0%
THC 6%;6;0%
THC 6%;7;0%
THC 6%;8;0%
THC 6%;9;0%
THC 6%;10;0%
THC 7%;6;0%
THC 7%;7;0%
THC 7%;8;0%
THC 7%;9;0%
THC 7%;10;0%
THC 10%;5;0%
THC 10%;6;0%
THC 10%;7;0%
THC 10%;8;0%
THC 10%;9;0%
THC 10%;10;0%
THC 1%;1;1.5%
THC 1%;2;1.5%
THC 1%;3;1.5%
THC 2%;1;1.5%
THC 2%;2;1.5%
THC 2%;3;1.5%
THC 3%;1;1.5%
THC 3%;2;1.5%
THC 3%;3;1.5%
THC 6%;1;1.70%
THC 6%;2;1.70%
THC 6%;3;1.70%
THC 6%;4;1.70%
THC 6%;5;1.70%
THC 7%;1;1.70%
THC 7%;2;1.70%
THC 7%;3;1.70%
THC 7%;4;1.70%
THC 7%;5;1.70%
THC 11%;6;2%
THC 11%;7;2%
THC 11%;8;2%
THC 11%;9;2%
THC 11%;10;2%
THC 12%;6;2.20%
THC 12%;7;2.20%
THC 12%;8;2.20%
THC 12%;9;2.20%
THC 12%;10;2.20%
THC 13%;6;2%
THC 13%;7;2%
THC 13%;8;2%
THC 13%;9;2%
THC 13%;10;2%
THC 14%;6;2%
THC 14%;7;2%
THC 14%;8;2%
THC 14%;9;2%
THC 14%;10;2%
THC 15%;6;2%
THC 15%;7;2%
THC 15%;8;2%
THC 15%;9;2%
THC 15%;10;2%
THC 16%;1;2.50%
THC 16%;2;2.50%
THC 16%;3;2.50%
THC 16%;4;2.50%
THC 16%;5;2.50%
THC 16%;6;3%
THC 16%;7;3%
THC 16%;8;3%
THC 16%;9;3%
THC 16%;10;3%
THC 17%;1;2.50%
THC 17%;2;2.50%
THC 17%;3;2.50%
THC 17%;4;2.50%
THC 17%;5;2.50%
THC 17%;6;3%
THC 17%;7;3%
THC 17%;8;3%
THC 17%;9;3%
THC 17%;10;3%
THC 18%;1;2.50%
THC 18%;2;2.50%
THC 18%;3;2.50%
THC 18%;4;2.50%
THC 18%;5;2.50%
THC 18%;6;3%
THC 18%;7;3%
THC 18%;8;3%
THC 18%;9;3%
THC 18%;10;3%
THC 19%;1;2.50%
THC 19%;2;2.50%
THC 19%;3;2.50%
THC 19%;4;2.50%
THC 19%;5;2.50%
THC 19%;6;3%
THC 19%;7;3%
THC 19%;8;3%
THC 19%;9;3%
THC 19%;10;3%
THC 20%;1;2.50%
THC 20%;2;2.50%
THC 20%;3;2.50%
THC 20%;4;2.50%
THC 20%;5;2.50%
THC 20%;6;3%
THC 20%;7;3%
THC 20%;8;3%
THC 20%;9;3%
THC 20%;10;3%
THC 21%;1;2.50%
THC 21%;2;2.50%
THC 21%;3;2.50%
THC 21%;4;2.50%
THC 21%;5;2.50%
THC 21%;6;3%
THC 21%;7;3%
THC 21%;8;3%
THC 21%;9;3%
THC 21%;10;3%
THC 22%;1;2.50%
THC 22%;2;2.50%
THC 22%;3;2.50%
THC 22%;4;2.50%
THC 22%;5;2.50%
THC 22%;6;3%
THC 22%;7;3%
THC 22%;8;3%
THC 22%;9;3%
THC 22%;10;3%
